Dates,Duration,Max_EDf5,Max30,Total_mm,Season
2000-10-24 - 2000-10-26,31.166666666666668,20.3,19.1,65.80000000000001,2000-2001
2000-12-19 - 2000-12-20,19.666666666666668,18.9,11.4,50.6,2000-2001
2001-12-04 - 2001-12-06,40.16666666666666,27.0,11.900000000000002,119.5,2001-2002
2002-01-07 - 2002-01-09,62.66666666666666,41.8,13.5,109.1,2001-2002
2002-12-09 - 2002-12-10,13.166666666666666,23.2,21.9,57.2,2002-2003
2003-01-19 - 2003-01-21,39.0,44.900000000000006,26.5,87.8,2002-2003
2003-02-08 - 2003-02-10,63.0,8.0,4.6000000000000005,47.0,2002-2003
2003-02-24 - 2003-02-26,58.333333333333336,13.8,6.800000000000001,63.3,2002-2003
2003-03-18 - 2003-03-19,31.33333333333333,14.6,10.1,41.2,2002-2003
2003-03-24 - 2003-03-26,40.16666666666666,9.0,5.6000000000000005,70.5,2002-2003
2004-01-06 - 2004-01-09,60.333333333333336,12.1,5.4,51.400000000000006,2003-2004
2004-12-24 - 2004-12-25,33.833333333333336,20.3,13.5,56.4,2004-2005
2005-01-15 - 2005-01-16,25.666666666666668,11.6,9.1,46.8,2004-2005
2005-01-19 - 2005-01-20,20.0,13.8,7.2,51.2,2004-2005
2005-02-04 - 2005-02-09,106.83333333333331,42.2,10.1,102.3,2004-2005
2005-12-24 - 2005-12-25,28.666666666666668,13.9,7.9,58.8,2005-2006
2006-01-10 - 2006-01-13,86.0,21.6,8.1,109.4,2005-2006
2006-12-26 - 2006-12-27,32.0,20.8,9.5,75.69999999999999,2006-2007
2007-01-06 - 2007-01-07,29.166666666666668,18.7,15.4,43.3,2006-2007
2007-11-20 - 2007-11-22,59.5,16.5,10.0,90.2,2007-2008
2008-01-29 - 2008-01-31,43.833333333333336,14.8,7.8,56.0,2007-2008
2008-02-14 - 2008-02-15,29.0,20.0,11.599999999999998,55.7,2007-2008
2008-12-23 - 2008-12-24,13.333333333333334,17.599999999999998,16.599999999999998,72.2,2008-2009
2009-02-27 - 2009-02-28,22.33333333333333,10.1,8.1,41.10000000000001,2008-2009
2009-10-29 - 2009-10-30,26.666666666666668,25.2,16.599999999999998,58.5,2009-2010
2009-12-17 - 2009-12-18,18.83333333333333,20.5,11.1,49.70000000000001,2009-2010
2010-02-25 - 2010-02-26,14.833333333333334,16.2,13.1,86.99999999999999,2009-2010
2010-12-12 - 2010-12-13,40.0,28.8,16.7,81.3,2010-2011
2011-03-10 - 2011-03-11,40.5,9.3,6.9,40.7,2010-2011
2011-11-17 - 2011-11-20,53.66666666666666,9.0,6.300000000000001,59.1,2011-2012
2012-01-01 - 2012-01-03,27.166666666666668,19.1,16.6,52.5,2011-2012
