Dates,Duration,Max_EDf5,Max30,Total_mm,Season
2000-10-24 - 2000-10-26,31.166666666666668,12.18,38.2,65.80000000000001,2000-2001
2000-12-19 - 2000-12-20,19.666666666666668,18.9,22.8,50.6,2000-2001
2001-12-04 - 2001-12-06,40.16666666666666,12.461538461538462,23.800000000000004,119.5,2001-2002
2002-01-07 - 2002-01-09,62.66666666666666,13.2,27.0,109.1,2001-2002
2002-12-09 - 2002-12-10,13.166666666666666,34.800000000000004,43.8,57.2,2002-2003
2003-01-19 - 2003-01-21,39.0,22.450000000000003,53.0,87.8,2002-2003
2003-02-08 - 2003-02-10,63.0,2.5263157894736845,9.2,47.0,2002-2003
2003-02-24 - 2003-02-26,58.333333333333336,4.6,13.6,63.3,2002-2003
2003-03-18 - 2003-03-19,31.33333333333333,8.76,20.2,41.2,2002-2003
2003-03-24 - 2003-03-26,40.16666666666666,4.153846153846154,11.2,70.5,2002-2003
2004-01-06 - 2004-01-09,60.333333333333336,3.8210526315789473,10.8,51.400000000000006,2003-2004
2004-12-24 - 2004-12-25,33.833333333333336,11.072727272727274,27.0,56.4,2004-2005
2005-01-15 - 2005-01-16,25.666666666666668,8.700000000000001,18.2,46.8,2004-2005
2005-01-19 - 2005-01-20,20.0,13.8,14.4,51.2,2004-2005
2005-02-04 - 2005-02-09,106.83333333333331,7.672727272727273,20.2,102.3,2004-2005
2005-12-24 - 2005-12-25,28.666666666666668,9.266666666666667,15.8,58.8,2005-2006
2006-01-10 - 2006-01-13,86.0,4.984615384615385,16.2,109.4,2005-2006
2006-12-26 - 2006-12-27,32.0,12.479999999999997,19.0,75.69999999999999,2006-2007
2007-01-06 - 2007-01-07,29.166666666666668,12.466666666666669,30.8,43.3,2006-2007
2007-11-20 - 2007-11-22,59.5,5.5,20.0,90.2,2007-2008
2008-01-29 - 2008-01-31,43.833333333333336,6.342857142857143,15.6,56.0,2007-2008
2008-02-14 - 2008-02-15,29.0,13.333333333333334,23.2,55.7,2007-2008
2008-12-23 - 2008-12-24,13.333333333333334,26.4,33.2,72.2,2008-2009
2009-02-27 - 2009-02-28,22.33333333333333,8.657142857142858,16.2,41.10000000000001,2008-2009
2009-10-29 - 2009-10-30,26.666666666666668,18.9,33.2,58.5,2009-2010
2009-12-17 - 2009-12-18,18.83333333333333,20.5,22.2,49.70000000000001,2009-2010
2010-02-25 - 2010-02-26,14.833333333333334,19.44,26.200000000000003,86.99999999999999,2009-2010
2010-12-12 - 2010-12-13,40.0,14.4,33.4,81.3,2010-2011
2011-03-10 - 2011-03-11,40.5,4.292307692307693,13.8,40.7,2010-2011
2011-11-17 - 2011-11-20,53.66666666666666,3.176470588235294,12.6,59.1,2011-2012
2012-01-01 - 2012-01-03,27.166666666666668,12.733333333333334,33.2,52.5,2011-2012
2012-01-13 - 2012-01-14,33.666666666666664,6.327272727272728,19.2,47.900000000000006,2011-2012
2012-02-01 - 2012-02-02,22.666666666666668,10.028571428571428,16.0,60.0,2011-2012
2012-02-28 - 2012-03-04,112.0,3.0,13.199999999999998,87.0,2011-2012
2012-12-20 - 2012-12-22,35.166666666666664,5.836363636363636,18.4,51.3,2012-2013
2013-01-05 - 2013-01-06,17.166666666666668,24.1,32.599999999999994,84.9,2012-2013
2013-01-06 - 2013-01-10,86.0,8.515384615384615,25.800000000000004,115.4,2012-2013
2013-01-30 - 2013-02-02,71.83333333333333,4.527272727272728,12.6,87.0,2012-2013
2013-12-10 - 2013-12-12,44.833333333333336,9.042857142857144,18.6,53.3,2013-2014
2013-12-12 - 2013-12-14,49.333333333333336,9.48,16.4,156.7,2013-2014
2014-03-12 - 2014-03-13,33.666666666666664,9.98181818181818,19.6,58.5,2013-2014
2014-11-16 - 2014-11-16,7.333333333333333,38.2,38.2,50.7,2014-2015
2014-11-25 - 2014-11-27,61.833333333333336,8.242105263157896,17.0,104.9,2014-2015
2015-01-07 - 2015-01-10,68.5,8.428571428571429,15.8,97.7,2014-2015
2015-01-14 - 2015-01-16,41.66666666666666,5.953846153846154,9.4,42.50000000000001,2014-2015
2015-04-10 - 2015-04-12,47.0,5.6,17.0,54.9,2014-2015
2015-12-17 - 2015-12-18,26.0,6.9,13.6,49.7,2015-2016
2016-02-21 - 2016-02-22,29.83333333333333,11.266666666666666,15.4,42.0,2015-2016
2016-12-01 - 2016-12-02,27.166666666666668,12.800000000000002,20.4,93.0,2016-2017
2016-12-27 - 2016-12-28,22.666666666666668,7.885714285714284,9.4,48.1,2016-2017
2017-02-13 - 2017-02-16,59.66666666666666,3.266666666666667,10.2,55.900000000000006,2016-2017
2018-01-24 - 2018-01-26,50.0,6.960000000000001,19.8,70.30000000000001,2017-2018
2018-02-16 - 2018-02-18,25.33333333333333,10.875,20.200000000000003,51.89999999999999,2017-2018
2018-12-06 - 2018-12-08,61.5,9.094736842105265,23.4,176.5,2018-2019
2019-12-25 - 2019-12-28,69.83333333333333,4.4,17.0,103.3,2019-2020
2020-01-04 - 2020-01-05,26.666666666666668,21.15,28.6,61.900000000000006,2019-2020
2020-01-08 - 2020-01-10,41.0,12.692307692307692,27.200000000000003,86.7,2019-2020
2020-01-18 - 2020-01-20,39.833333333333336,11.45,19.4,101.0,2019-2020
2020-01-21 - 2020-01-22,24.33333333333333,13.2,16.6,51.400000000000006,2019-2020
2020-03-12 - 2020-03-14,28.83333333333333,8.066666666666666,12.0,40.7,2019-2020
2020-11-04 - 2020-11-05,19.666666666666668,25.0,41.8,48.4,2020-2021
2020-11-20 - 2020-11-21,21.166666666666668,45.51428571428571,81.8,104.7,2020-2021
2020-11-25 - 2020-11-26,26.666666666666668,19.95,47.6,49.39999999999999,2020-2021
2020-12-15 - 2020-12-18,53.833333333333336,7.1647058823529415,19.0,70.5,2020-2021
2021-02-16 - 2021-02-19,73.16666666666667,5.236363636363636,13.999999999999996,108.0,2020-2021
2021-11-18 - 2021-11-20,50.0,14.52,35.0,71.5,2021-2022
2021-12-16 - 2021-12-18,39.5,5.35,19.4,61.400000000000006,2021-2022
2021-12-20 - 2021-12-22,60.0,12.533333333333331,27.6,172.7,2021-2022
2022-01-13 - 2022-01-16,67.66666666666667,6.257142857142858,19.8,104.7,2021-2022
2022-01-26 - 2022-01-29,68.66666666666667,3.8857142857142857,12.0,87.3,2021-2022
2022-03-23 - 2022-03-25,29.166666666666668,8.733333333333333,12.4,45.5,2021-2022
2000-01-03 - 2000-01-06,68.66666666666667,16.142857142857142,39.400000000000006,155.9,1999-2000
2000-01-26 - 2000-01-28,49.5,7.439999999999999,10.8,84.89999999999999,1999-2000
